Price,Locality,Type_of_Property,Subtype_of_Property,State_of_the_Building,Number_of_Rooms,Living_Area,Fully_Equipped_Kitchen,Terrace,Garden,Surface_area_plot_of_land,Number_of_Facades,Swimming_Pool,Lift,Municipality,Province
475000,1040,APARTMENT,GROUND_FLOOR,AS_NEW,2,85.0,1,1.0,1.0,0.0,4.0,0.0,1.0,Bruxelles,Brussels Capital
260000,6724,HOUSE,MIXED_USE_BUILDING,GOOD,4,247.0,0,1.0,0.0,280.0,3.0,0.0,0.0,Habay,Luxembourg
649000,1800,HOUSE,VILLA,GOOD,4,258.0,0,1.0,1.0,555.0,4.0,0.0,0.0,Vilvoorde,Flemish Brabant
169000,9620,APARTMENT,APARTMENT,GOOD,2,111.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Zottegem,East Flanders
349000,2900,HOUSE,HOUSE,GOOD,2,153.0,0,1.0,1.0,130.0,2.0,0.0,0.0,Schoten,Antwerp
200000,8430,APARTMENT,APARTMENT,GOOD,1,41.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Middelkerke,Other
110000,6000,APARTMENT,APARTMENT,GOOD,2,76.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Charleroi,Hainaut
196000,5300,APARTMENT,APARTMENT,GOOD,1,70.0,1,1.0,0.0,0.0,2.0,0.0,0.0,Andenne,Namur
650000,8400,APARTMENT,PENTHOUSE,GOOD,4,219.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Oostende,Other
340000,1030,APARTMENT,APARTMENT,AS_NEW,2,78.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Schaerbeek,Brussels Capital
230000,1082,HOUSE,HOUSE,TO_RENOVATE,2,106.0,0,1.0,1.0,172.0,2.0,0.0,0.0,Berchem-Sainte-Agathe,Brussels Capital
465000,1654,HOUSE,HOUSE,GOOD,4,210.0,0,1.0,1.0,679.0,3.0,0.0,0.0,Beersel,Flemish Brabant
225000,9500,HOUSE,HOUSE,GOOD,4,157.0,1,1.0,1.0,570.0,4.0,0.0,0.0,Geraardsbergen,East Flanders
795000,1200,APARTMENT,GROUND_FLOOR,AS_NEW,3,170.0,1,1.0,0.0,0.0,2.0,0.0,1.0,Woluwe-Saint-Lambert,Brussels Capital
179000,5537,APARTMENT,APARTMENT,AS_NEW,1,92.0,0,1.0,0.0,0.0,2.0,0.0,1.0,Anhée,Namur
399000,9120,HOUSE,HOUSE,JUST_RENOVATED,4,206.0,0,1.0,1.0,280.0,2.0,0.0,0.0,Beveren,East Flanders
425000,9070,APARTMENT,APARTMENT,GOOD,3,168.0,0,0.0,0.0,0.0,2.0,0.0,1.0,Destelbergen,East Flanders
